	Gene	padj	FC	Tissue
376	VDAC2	8.300000000000001e-132	-0.553413735	Exc_Neuron
377	NDUFAF3	1.08e-131	-0.703276465	Exc_Neuron
378	PSMB1	1.41e-131	-0.569593965	Exc_Neuron
379	ARGLU1	1.59e-131	-0.260891251	Exc_Neuron
380	RPL23A	1.94e-131	-0.430073923	Exc_Neuron
381	NEUROD6	2.55e-131	-0.821171477	Exc_Neuron
382	CCT7	4.58e-131	-0.798987252	Exc_Neuron
383	POLR2K	1.7e-130	-0.59719581	Exc_Neuron
384	SLC39A10	2.49e-130	-0.250423463	Exc_Neuron
385	UFC1	2.91e-130	-0.850195256	Exc_Neuron
386	ARL3	6.27e-130	-0.386973148	Exc_Neuron
387	SEC62	9.45e-130	-0.302341225	Exc_Neuron
388	NHP2	9.54e-130	-0.644956768	Exc_Neuron
389	TCEB2	2.0400000000000003e-129	-0.510114316	Exc_Neuron
390	DPY30	9.5e-129	-0.469236222	Exc_Neuron
391	GPR22	9.540000000000001e-129	-0.312627866	Exc_Neuron
392	TAF7	1.01e-128	-0.696136164	Exc_Neuron
393	YWHAQ	1.12e-128	-0.331208432	Exc_Neuron
394	RPL32	1.41e-128	-0.213431974	Exc_Neuron
395	DCTN2	1.45e-128	-0.514382483	Exc_Neuron
396	TUBB4A	1.55e-128	-0.382678627	Exc_Neuron
397	ACTL6B	1.62e-128	-0.505040142	Exc_Neuron
398	NDUFB6	2.02e-128	-0.50518169	Exc_Neuron
399	ATP6V0E2	2.7599999999999997e-128	-0.375164001	Exc_Neuron
400	FAM153B	4.3599999999999996e-128	-0.321003372	Exc_Neuron
401	FUS	7.289999999999999e-128	-0.245129187	Exc_Neuron
402	ATP1B3	9.699999999999999e-128	-0.423659075	Exc_Neuron
403	RPLP2	1.04e-127	-0.387747425	Exc_Neuron
404	OSBPL1A	1.04e-127	-0.246727901	Exc_Neuron
405	SUMO1	1.61e-127	-0.444384308	Exc_Neuron
406	TCEAL6	1.62e-127	-0.838341669	Exc_Neuron
407	CHCHD3	1.76e-127	-0.190483548	Exc_Neuron
408	TXN	3.26e-127	-0.635190888	Exc_Neuron
409	CAMK2G	3.74e-127	-0.26609486	Exc_Neuron
410	TBRG1	6.39e-127	-0.239883771	Exc_Neuron
411	UBE2B	1.18e-126	-0.254886763	Exc_Neuron
412	HACD3	1.4599999999999999e-126	-0.363016859	Exc_Neuron
413	RPL13A	2.2399999999999997e-126	-0.307127824	Exc_Neuron
414	POMP	3.85e-126	-0.573707522	Exc_Neuron
415	SCOC	4.57e-126	-0.389896325	Exc_Neuron
416	RPAIN	5.559999999999999e-126	-0.479391018	Exc_Neuron
417	ATP6V1C1	9.319999999999999e-126	-0.34751724	Exc_Neuron
418	SYT1	9.65e-126	0.205482302	Exc_Neuron
419	PDP1	1.19e-125	-0.280157436	Exc_Neuron
420	TARBP1	1.42e-125	-0.21300022	Exc_Neuron
421	ANXA7	1.53e-125	-0.338386843	Exc_Neuron
422	SARS	2.11e-125	-0.449462984	Exc_Neuron
423	TAF15	2.15e-125	-0.260605538	Exc_Neuron
424	TM7SF3	2.9500000000000003e-125	-0.4103412	Exc_Neuron
425	ROGDI	2.9500000000000003e-125	-0.429347141	Exc_Neuron
426	TCEAL8	4.14e-125	-0.783563573	Exc_Neuron
427	NDUFB9	4.49e-125	-0.78898241	Exc_Neuron
428	ARL4A	4.81e-125	-0.538776207	Exc_Neuron
429	ADGRB3	6.800000000000001e-125	0.281115652	Exc_Neuron
430	GOLT1B	7.61e-125	-0.44699376	Exc_Neuron
431	PSMC1	9.120000000000001e-125	-0.487476517	Exc_Neuron
432	C16orf45	1.07e-124	-0.289469364	Exc_Neuron
433	ARPC5L	1.23e-124	-0.569646156	Exc_Neuron
